query_id,query_text,relevant_paper
q001,How do LLM agents balance prior knowledge against active search when solving complex reasoning tasks?,2605.19782v1_Prior Knowledge or Search A Study of LLM Agents in.pdf
q002,What experimental findings reveal the trade-offs between retrieval-augmented and parametric knowledge in LLM agents?,2605.19782v1_Prior Knowledge or Search A Study of LLM Agents in.pdf
q003,Under what conditions does prior knowledge outperform search-based strategies in LLM agent benchmarks?,2605.19782v1_Prior Knowledge or Search A Study of LLM Agents in.pdf
q004,How does the Stitched Value Model improve alignment of diffusion models with human preferences?,2605.19804v1_Stitched Value Model for Diffusion Alignment.pdf
q005,What is the role of value stitching in guiding the denoising process of diffusion models?,2605.19804v1_Stitched Value Model for Diffusion Alignment.pdf
q006,How does the stitched value alignment method compare to RLHF-based approaches for diffusion model fine-tuning?,2605.19804v1_Stitched Value Model for Diffusion Alignment.pdf
q007,How does Latent Laplace Diffusion handle irregular sampling intervals in multivariate time series?,2605.19805v1_Latent Laplace Diffusion for Irregular Multivariat.pdf
q008,What advantages does the Laplace distribution assumption provide over Gaussian diffusion for time series imputation?,2605.19805v1_Latent Laplace Diffusion for Irregular Multivariat.pdf
q009,How does the Latent Laplace model perform on downstream forecasting tasks compared to existing irregular time series methods?,2605.19805v1_Latent Laplace Diffusion for Irregular Multivariat.pdf
q010,What challenges define in-the-wild conditions for automatic speech recognition systems in Mega-ASR?,2605.19833v1_Mega-ASR Towards In-the-wild2 Speech Recognition v.pdf
q011,How does Mega-ASR address noise and speaker variability in unconstrained acoustic environments?,2605.19833v1_Mega-ASR Towards In-the-wild2 Speech Recognition v.pdf
q012,What training strategies and datasets enable robust speech recognition in highly variable real-world conditions?,2605.19833v1_Mega-ASR Towards In-the-wild2 Speech Recognition v.pdf
q013,How does a closed-loop state-centric design improve coordination and feedback in multi-agent systems?,2605.19834v1_A Closed-loop State-centric Multi-agent Framework .pdf
q014,What mechanisms allow agents to maintain consistent shared state representations during collaborative tasks?,2605.19834v1_A Closed-loop State-centric Multi-agent Framework .pdf
q015,How does the closed-loop multi-agent framework handle partial observability and state estimation errors in distributed settings?,2605.19834v1_A Closed-loop State-centric Multi-agent Framework .pdf
q016,What fine-grained visual understanding tasks does FineBench introduce to evaluate vision-language models?,2605.19846v2_FineBench Benchmarking and Enhancing Vision-Langua.pdf
q017,How does FineBench expose limitations of current VLMs on detailed attribute-level recognition?,2605.19846v2_FineBench Benchmarking and Enhancing Vision-Langua.pdf
q018,What enhancement techniques are proposed to improve vision-language model performance on fine-grained tasks?,2605.19846v2_FineBench Benchmarking and Enhancing Vision-Langua.pdf
q019,How can node representations be learned without relying on node features in graph neural networks?,2605.19916v1_Fast and Featureless Node Representation Learning .pdf
q020,What structural properties of graphs are leveraged to generate meaningful featureless node embeddings?,2605.19916v1_Fast and Featureless Node Representation Learning .pdf
q021,How does the featureless node representation method's computational efficiency compare to feature-based GNN approaches on large graphs?,2605.19916v1_Fast and Featureless Node Representation Learning .pdf
q022,How does parallelization accelerate Counterfactual Regret Minimization for real-time game solving?,2605.19928v1_Real-Time Parallel Counterfactual Regret Minimizat.pdf
q023,What synchronization strategies enable efficient parallel CFR without compromising convergence guarantees?,2605.19928v1_Real-Time Parallel Counterfactual Regret Minimizat.pdf
q024,On which imperfect information game benchmarks does the real-time parallel CFR demonstrate improved performance?,2605.19928v1_Real-Time Parallel Counterfactual Regret Minimizat.pdf
q025,How does measure theory provide a formal framework for analyzing the structure of reasoning in neural models?,2605.19944v1_A Measure-Theoretic Analysis of Reasoning Structur.pdf
q026,What mathematical properties of reasoning chains can be characterized through a measure-theoretic lens?,2605.19944v1_A Measure-Theoretic Analysis of Reasoning Structur.pdf
q027,How does the measure-theoretic analysis of reasoning structures inform the design of more reliable AI reasoning systems?,2605.19944v1_A Measure-Theoretic Analysis of Reasoning Structur.pdf
q028,What distinguishes optimization-based adversarial prompts from other jailbreak attack strategies against LLMs?,2605.19966v1_Detecting Fluent Optimization-Based Adversarial Pr.pdf
q029,How does the proposed detection method identify fluent adversarial prompts that evade perplexity-based filters?,2605.19966v1_Detecting Fluent Optimization-Based Adversarial Pr.pdf
q030,What are the false positive rates and detection accuracy of the proposed adversarial prompt detector?,2605.19966v1_Detecting Fluent Optimization-Based Adversarial Pr.pdf
q031,What types of data contamination affect the validity of LLM benchmark evaluations?,2605.19999v1_LLM Benchmark Datasets Should Be Contamination-Res.pdf
q032,How can benchmark designers build contamination-resistant datasets to ensure fair evaluation of language models?,2605.19999v1_LLM Benchmark Datasets Should Be Contamination-Res.pdf
q033,What empirical evidence demonstrates the impact of training data contamination on LLM benchmark scores?,2605.19999v1_LLM Benchmark Datasets Should Be Contamination-Res.pdf
q034,How do reward poisoning attacks exploit disagreement among multiple critic networks in reinforcement learning?,2605.20037v1_When Critics Disagree Adaptive Reward Poisoning At.pdf
q035,What adaptive strategies allow reward poisoning to remain effective against ensemble-based defenses in RL?,2605.20037v1_When Critics Disagree Adaptive Reward Poisoning At.pdf
q036,How can RL systems be hardened against adaptive reward poisoning while maintaining training efficiency?,2605.20037v1_When Critics Disagree Adaptive Reward Poisoning At.pdf
q037,How does code readability and cleanliness influence the performance of LLM-based coding agents?,2605.20049v1_Does Code Cleanliness Affect Coding Agents A Contr.pdf
q038,What controlled experimental design isolates the effect of code style from functionality in coding agent evaluation?,2605.20049v1_Does Code Cleanliness Affect Coding Agents A Contr.pdf
q039,Which aspects of code cleanliness such as naming or structure have the greatest impact on coding agent performance?,2605.20049v1_Does Code Cleanliness Affect Coding Agents A Contr.pdf
q040,What risks are jointly calibrated in the BalanceRAG framework for cascaded retrieval-augmented generation?,2605.20084v1_BalanceRAG Joint Risk Calibration for Cascaded Ret.pdf
q041,How does BalanceRAG prevent over-retrieval and under-retrieval in multi-stage RAG pipelines?,2605.20084v1_BalanceRAG Joint Risk Calibration for Cascaded Ret.pdf
q042,How does the BalanceRAG risk calibration approach compare to standard RAG baselines on knowledge-intensive NLP tasks?,2605.20084v1_BalanceRAG Joint Risk Calibration for Cascaded Ret.pdf
q043,How does neurosymbolic integration enhance argument mining and reasoning at inference time?,2605.20098v1_Neurosymbolic Learning for Inference-Time Argument.pdf
q044,What symbolic components are combined with neural representations to improve logical consistency in argumentation?,2605.20098v1_Neurosymbolic Learning for Inference-Time Argument.pdf
q045,How does the neurosymbolic approach handle implicit argument structures that purely neural models fail to capture?,2605.20098v1_Neurosymbolic Learning for Inference-Time Argument.pdf
q046,How does scaling model size and training data improve time series forecasting performance in Toto 2.0?,2605.20119v1_Toto 20 Time Series Forecasting Enters the Scaling.pdf
q047,What architectural innovations in Toto 2.0 enable effective scaling for diverse time series domains?,2605.20119v1_Toto 20 Time Series Forecasting Enters the Scaling.pdf
q048,How does Toto 2.0 compare to specialized forecasting models on standard benchmarks like ETT and M4?,2605.20119v1_Toto 20 Time Series Forecasting Enters the Scaling.pdf
q049,What functionalities does the Aristotle API provide to support AI-assisted formal theorem proving?,2605.20120v1_Using Aristotle API for AI-Assisted Theorem Provin.pdf
q050,How does the Aristotle API system integrate large language model reasoning with symbolic proof verification?,2605.20120v1_Using Aristotle API for AI-Assisted Theorem Provin.pdf
q051,On which benchmark theorem-proving tasks does the Aristotle API-based system demonstrate measurable improvement?,2605.20120v1_Using Aristotle API for AI-Assisted Theorem Provin.pdf
q052,What limitations of standard saliency-based visual attribution methods are identified for chest X-ray AI systems?,2605.20158v1_Rethinking Visual Attribution for Chest X-ray Reas.pdf
q053,How does the proposed approach improve alignment between model attention and radiologist-annotated regions in X-rays?,2605.20158v1_Rethinking Visual Attribution for Chest X-ray Reas.pdf
q054,What evaluation metrics are used to assess the clinical validity of visual attributions in chest X-ray diagnosis?,2605.20158v1_Rethinking Visual Attribution for Chest X-ray Reas.pdf
q055,What are atoms of thought and how do they serve as fundamental units for EEG representation learning?,2605.20182v1_Atoms of Thought Universal EEG Representation Lear.pdf
q056,How does universal EEG representation learning generalize across different brain-computer interface tasks?,2605.20182v1_Atoms of Thought Universal EEG Representation Lear.pdf
q057,What self-supervised learning strategies are used to pretrain EEG encoders without task-specific labels?,2605.20182v1_Atoms of Thought Universal EEG Representation Lear.pdf
q058,What does SDM measure that standard accuracy metrics overlook when evaluating model robustness?,2605.20308v1_SDM A Powerful Tool for Evaluating Model Robustnes.pdf
q059,How does SDM capture distributional shifts between training and test data to assess model robustness?,2605.20308v1_SDM A Powerful Tool for Evaluating Model Robustnes.pdf
q060,How does SDM-based evaluation correlate with real-world model failures compared to existing robustness benchmarks?,2605.20308v1_SDM A Powerful Tool for Evaluating Model Robustnes.pdf
q061,What architectural upgrades does FullFlow introduce to improve text-to-image flow matching models?,2605.20316v1_FullFlow Upgrading Text-to-Image Flow Matching Mod.pdf
q062,How does FullFlow address the quality-diversity tradeoff in flow-based generative models for image synthesis?,2605.20316v1_FullFlow Upgrading Text-to-Image Flow Matching Mod.pdf
q063,What conditioning mechanisms allow FullFlow to achieve better text alignment in generated images?,2605.20316v1_FullFlow Upgrading Text-to-Image Flow Matching Mod.pdf
q064,How do full-duplex spoken dialogue systems manage turn-taking without explicit end-of-utterance markers?,2605.20356v1_Synchronization and Turn-Taking in Full-Duplex Spe.pdf
q065,What synchronization mechanisms prevent interruption conflicts in simultaneous full-duplex speech systems?,2605.20356v1_Synchronization and Turn-Taking in Full-Duplex Spe.pdf
q066,How does the full-duplex model learn natural conversational timing from human dialogue data?,2605.20356v1_Synchronization and Turn-Taking in Full-Duplex Spe.pdf
q067,What domain-specific challenges arise when classifying cybersecurity documents using language models?,2605.20368v1_Security Document Classification with a Fine-Tuned.pdf
